50
500 500
277 242 1
233 177 1
182 216 1
147 134 1
213 127 1
315 212 1
261 175 1
210 281 1
243 256 1
159 314 1
217 147 1
260 349 1
222 199 1
296 127 1
263 302 1
226 250 1
264 344 1
237 179 1
245 137 1
137 328 1
321 154 1
200 174 1
270 128 1
299 179 1
165 370 1
198 182 1
155 295 1
278 219 1
184 155 1
187 270 1
208 293 1
261 204 1
344 168 1
213 135 1
362 162 1
362 374 1
237 322 1
281 308 1
155 344 1
210 163 1
325 225 1
360 225 1
346 347 1
131 144 1
284 284 1
262 228 1
146 178 1
254 164 1
332 238 1
313 304 1
