62
3500 3500
365 185 1
378 200 1
410 165 1
425 148 1
425 296 1
439 116 1
464 1006 1
520 205 1
520 350 1
540 530 1
549 1413 1
549 1882 1
553 496 1
555 755 1
555 496 1
555 659 1
567 473 1
572 592 1
572 975 1
572 1175 1
572 1575 1
572 1390 1
572 1490 1
572 1590 1
572 1690 1
572 1890 1
610 625 1
660 490 1
690 447 1
949 445 1
949 478 1
970 463 1
541 745 1
344 301 1
413 294 1
266 341 1
543 388 1
367 701 1
526 707 1
286 706 1
614 289 1
348 592 1
673 431 1
475 362 1
562 439 1
530 638 1
609 375 1
540 274 1
486 634 1
272 377 1
623 306 1
266 714 1
341 336 1
340 296 1
531 479 1
571 589 1
674 496 1
560 497 1
509 389 1
650 332 1
474 285 1
419 503 1
